127.0.0.1 - - [18/Aug/2020:12:46:27 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:21 -0700] "GET /BookStoreWebsite/admin/js/bootstrap.min.js HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:21 -0700] "GET /BookStoreWebsite/css/admin/bourbon HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 5688
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "GET /BookStoreWebsite/css/admin/common.css HTTP/1.1" 200 15481
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "GET /BookStoreWebsite/css/admin/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "GET /BookStoreWebsite/css/fonts/icomoon.woff HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "GET /BookStoreWebsite/css/images/tab-thbg.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:08:36 -0700] "GET /BookStoreWebsite/css/fonts/icomoon.ttf HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:09:45 -0700] "GET /BookStoreWebsite/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:09:46 -0700] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:09:46 -0700] "GET /BookStoreWebsite/css/fonts/icomoon.woff HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:09:46 -0700] "GET /BookStoreWebsite/css/images/tab-thbg.png HTTP/1.1" 404 253
0:0:0:0:0:0:0:1 - - [18/Aug/2020:13:09:46 -0700] "GET /BookStoreWebsite/css/fonts/icomoon.ttf HTTP/1.1" 404 253
